Time(s), V(V),Encoder,ADC
1.995,-0.19077,-659,12
2,-0.0022867,-645,1
2.005,0.1862,-631,1
2.01,0.37464,-617,1
2.015,0.56299,-604,1
2.02,0.7512,-590,-62
2.025,0.93922,-577,-62
2.03,1.127,-563,-62
2.035,1.3145,-550,-62
2.04,1.5017,-537,-143
2.045,1.6885,-524,-143
2.05,1.8749,-511,-143
2.055,2.0609,-499,-192
2.06,2.2463,-487,-192
2.065,2.4312,-475,-192
2.07,2.6155,-463,-192
2.075,2.7991,-452,-256
2.08,2.982,-441,-256
2.085,3.1642,-430,-256
2.09,3.3457,-420,-263
2.095,3.5263,-410,-263
2.1,3.706,-400,-263
2.105,3.8848,-391,-263
2.11,4.0627,-382,-256
2.115,4.2395,-374,-256
2.12,4.4153,-366,-256
2.125,4.5901,-358,-287
2.13,4.7636,-351,-287
2.135,4.9361,-345,-287
2.14,5.1073,-339,-287
2.145,5.2772,-334,-284
2.15,5.4458,-329,-284
2.155,5.6131,-325,-284
2.16,5.779,-321,-271
2.165,5.9435,-317,-271
2.17,6.1065,-315,-271
2.175,6.268,-313,-271
2.18,6.428,-311,-259
2.185,6.5863,-310,-259
2.19,6.7431,-310,-259
2.195,6.8982,-310,-231
2.2,7.0515,-311,-231
2.205,7.2032,-312,-231
2.21,7.353,-314,-231
2.215,7.5011,-316,-207
2.22,7.6473,-319,-207
2.225,7.7916,-322,-207
2.23,7.934,-326,-207
2.235,8.0744,-330,-192
2.24,8.2129,-335,-192
2.245,8.3493,-340,-192
2.25,8.4836,-346,-159
2.255,8.6159,-352,-159
2.26,8.746,-358,-159
2.265,8.874,-365,-159
2.27,8.9998,-372,-127
2.275,9.1233,-379,-127
2.28,9.2447,-387,-127
2.285,9.3637,-395,-127
2.29,9.4804,-404,-127
2.295,9.5948,-413,-127
2.3,9.7068,-422,-127
2.305,9.8164,-432,-99
2.31,9.9236,-441,-99
2.315,10.028,-451,-99
2.32,10.131,-462,-79
2.325,10.23,-472,-79
2.33,10.328,-483,-79
2.335,10.422,-494,-79
2.34,10.515,-505,-76
2.345,10.604,-517,-76
2.35,10.691,-528,-76
2.355,10.775,-540,-63
2.36,10.857,-552,-63
2.365,10.936,-565,-63
2.37,11.012,-577,-63
2.375,11.086,-590,-56
2.38,11.156,-602,-56
2.385,11.224,-615,-56
2.39,11.29,-628,-56
2.395,11.352,-641,-56
2.4,11.412,-655,-56
2.405,11.469,-668,-56
2.41,11.523,-682,-44
2.415,11.574,-696,-44
2.42,11.622,-709,-44
2.425,11.668,-723,-44
2.43,11.71,-737,-39
2.435,11.75,-752,-39
2.44,11.787,-766,-39
2.445,11.821,-780,-39
2.45,11.852,-795,-39
2.455,11.88,-809,-39
2.46,11.905,-824,-39
2.465,11.927,-838,-31
2.47,11.947,-853,-31
2.475,11.963,-868,-31
2.48,11.976,-883,-31
2.485,11.987,-898,-31
2.49,11.994,-913,-31
2.495,11.998,-928,-31
2.5,12,-943,-24
2.505,11.999,-959,-24
2.51,11.994,-974,-24
2.515,11.987,-989,-24
2.52,11.976,-1005,-24
2.525,11.963,-1020,-24
2.53,11.947,-1035,-24
2.535,11.928,-1051,-24
2.54,11.906,-1067,-24
2.545,11.881,-1082,-24
2.55,11.853,-1098,-15
2.555,11.822,-1114,-15
2.56,11.788,-1129,-15
2.565,11.751,-1145,-15
2.57,11.712,-1161,-15
2.575,11.669,-1177,-15
2.58,11.624,-1193,-15
2.585,11.575,-1208,-24
2.59,11.524,-1224,-24
2.595,11.47,-1240,-24
2.6,11.413,-1256,-24
2.605,11.354,-1272,-24
2.61,11.291,-1288,-24
2.615,11.226,-1303,-24
2.62,11.158,-1319,-24
2.625,11.087,-1335,-15
2.63,11.014,-1351,-15
2.635,10.938,-1367,-15
2.64,10.859,-1383,-24
2.645,10.777,-1399,-24
2.65,10.693,-1415,-24
2.655,10.606,-1431,-24
2.66,10.517,-1447,-15
2.665,10.425,-1463,-15
2.67,10.33,-1479,-15
2.675,10.233,-1495,-15
2.68,10.133,-1511,-15
2.685,10.031,-1527,-15
2.69,9.9263,-1543,-15
2.695,9.8192,-1559,-15
2.7,9.7097,-1575,-15
2.705,9.5977,-1591,-15
